,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,year,odokm,price,grade,drive,owner,url,date
52,52.0,52.0,52.0,52.0,2.0,,2012-AWD-SSE-AD-12884730,2012 Toyota Kluger Altitude Auto AWD MY12,2012,145000,24500,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-awd-my12/SSE-AD-12884730/,2022-06-19 00:00:00
53,53.0,53.0,53.0,53.0,3.0,,2015-2WD-SSE-AD-12924600,2015 Toyota Kluger GX Auto 2WD,2015,66000,36990,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12924600/,2022-06-19 00:00:00
54,54.0,54.0,54.0,54.0,4.0,,2018-2WD-SSE-AD-12963037,2018 Toyota Kluger GX Auto 2WD,2018,61000,39500,1,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/SSE-AD-12963037/,2022-06-19 00:00:00
55,55.0,55.0,55.0,55.0,5.0,,2018-AWD-SSE-AD-12554582,2018 Toyota Kluger Grande Auto AWD,2018,64665,53990,3,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-awd/SSE-AD-12554582/,2022-06-19 00:00:00
56,56.0,56.0,56.0,56.0,6.0,,2019-2WD-SSE-AD-12799852,2019 Toyota Kluger GXL Auto 2WD,2019,48500,48800,2,2WD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-2wd/SSE-AD-12799852/,2022-06-19 00:00:00
57,57.0,57.0,57.0,57.0,7.0,,2018-2WD-SSE-AD-12801863,2018 Toyota Kluger Grande Auto 2WD,2018,33500,50000,3,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-2wd/SSE-AD-12801863/,2022-06-19 00:00:00
58,58.0,58.0,58.0,58.0,8.0,,2016-AWD-SSE-AD-12902702,2016 Toyota Kluger Grande Auto AWD,2016,125000,39990,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12902702/,2022-06-19 00:00:00
59,59.0,59.0,59.0,59.0,9.0,,2018-AWD-SSE-AD-12930081,2018 Toyota Kluger GXL Auto AWD,2018,103300,41000,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12930081/,2022-06-19 00:00:00
60,60.0,60.0,60.0,60.0,10.0,,2015-2WD-SSE-AD-12720105,2015 Toyota Kluger GX Auto 2WD,2015,143000,27995,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12720105/,2022-06-19 00:00:00
61,61.0,61.0,61.0,61.0,11.0,,2014-AWD-SSE-AD-12752087,2014 Toyota Kluger Grande Auto AWD,2014,101900,37500,3,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/SSE-AD-12752087/,2022-06-19 00:00:00
